iter	Passed	Remaining
1332	5488	687
1333	5493	683
1334	5498	679
1335	5504	675
1336	5509	671
1337	5513	667
1338	5517	663
1339	5521	659
1340	5526	655
1341	5530	651
1342	5534	646
1343	5538	642
1344	5542	638
1345	5547	634
1346	5551	630
1347	5555	626
1348	5559	622
1349	5564	618
1350	5568	614
1351	5573	610
1352	5577	605
1353	5581	601
1354	5584	597
1355	5588	593
1356	5593	589
1357	5597	585
1358	5602	581
1359	5606	577
1360	5610	573
1361	5615	569
1362	5619	564
1363	5623	560
1364	5627	556
1365	5630	552
1366	5634	548
1367	5638	544
1368	5642	539
1369	5647	535
1370	5651	531
1371	5655	527
1372	5659	523
1373	5663	519
1374	5666	515
1375	5671	511
1376	5674	506
1377	5679	502
1378	5683	498
1379	5686	494
1380	5689	490
1381	5693	486
1382	5697	481
1383	5700	477
1384	5703	473
1385	5707	469
1386	5711	465
1387	5713	461
1388	5716	456
1389	5719	452
1390	5723	448
1391	5726	444
1392	5729	440
1393	5732	435
1394	5736	431
1395	5740	427
1396	5743	423
1397	5748	419
1398	5751	415
1399	5755	411
1400	5758	406
1401	5762	402
1402	5765	398
1403	5768	394
1404	5771	390
1405	5778	386
1406	5782	382
1407	5785	378
1408	5789	373
1409	5793	369
1410	5796	365
1411	5800	361
1412	5803	357
1413	5807	353
1414	5810	349
1415	5813	344
1416	5817	340
1417	5820	336
1418	5823	332
1419	5827	328
1420	5831	324
1421	5836	320
1422	5838	315
1423	5843	311
1424	5846	307
1425	5850	303
1426	5854	299
1427	5857	295
1428	5860	291
1429	5864	287
1430	5868	282
1431	5873	278
1432	5876	274
1433	5879	270
1434	5883	266
1435	5887	262
1436	5890	258
1437	5893	254
1438	5897	249
1439	5900	245
1440	5904	241
1441	5908	237
1442	5912	233
1443	5917	229
1444	5921	225
1445	5925	221
1446	5929	217
1447	5933	213
1448	5936	208
1449	5940	204
1450	5944	200
1451	5948	196
1452	5952	192
1453	5957	188
1454	5961	184
1455	5964	180
1456	5969	176
1457	5973	172
1458	5977	167
1459	5981	163
1460	5985	159
1461	5989	155
1462	5992	151
1463	5996	147
1464	6001	143
1465	6005	139
1466	6009	135
1467	6013	131
1468	6017	126
1469	6021	122
1470	6026	118
1471	6031	114
1472	6035	110
1473	6039	106
1474	6043	102
